produto,Unnamed: 1,prediction
geleia duga 260g jabuticaba/marrasquino vidro,,"(('__label__conveniências,vela', '__label__doces', '__label__destilados,cachaça', '__label__cozinha,kit', '__label__cozinha,prato'), array([0.14760506, 0.11806621, 0.02502989, 0.01997562, 0.01680162]))"
acetona musa 100ml,,"(('__label__corpo,deo', '__label__corpo,óleo', '__label__corpo,repelente', '__label__corpo,perfume', '__label__corpo,colônia'), array([0.084911  , 0.0391667 , 0.03185102, 0.03054826, 0.02282029]))"
vela aniv.cromus letras parabens color,,"(('__label__conveniências,vela', '__label__cozinha,caneca', '__label__conveniências,velas', '__label__papelaria,caneta', '__label__cozinha,copo'), array([0.03846899, 0.02385932, 0.01028705, 0.00976575, 0.00975487]))"
geleia barbosa mor 260g,,"(('__label__doces', '__label__farmácia', '__label__cozinha,kit', '__label__cozinha,conjunto', '__label__cozinha,jogo'), array([0.11487186, 0.01734721, 0.01484391, 0.00988855, 0.0086468 ]))"
geleia barbosa lar pim 260g,,"(('__label__doces', '__label__conveniências,vela', '__label__cozinha,kit', '__label__farmácia', '__label__cozinha,conjunto'), array([0.03282578, 0.01288048, 0.00976701, 0.00727066, 0.00676868]))"
bolo ana bolos fuba un,,"(('__label__cozinha,forma', '__label__confeitaria,mistura', '__label__cozinha,assadeira', '__label__cozinha,espatula', '__label__pães,pão'), array([0.24423751, 0.02475832, 0.01657914, 0.01357369, 0.00897933]))"
bacalhau desfiado 1kg,,"(('__label__peixes,peixe', '__label__arroz,arroz', '__label__feijão,feijão', '__label__peixes,file', '__label__vegetais'), array([0.18347357, 0.05650678, 0.05168953, 0.0382405 , 0.03816871]))"
vinho udaca irreverent 750ml tinto unidade,,"(('__label__vinhos,vinho', '__label__vinhos,espumante', '__label__vinhos,vho', '__label__vinhos,vita', '__label__destilados,whisky'), array([0.75424439, 0.02222412, 0.01101354, 0.00944061, 0.00942944]))"
flor nat anturiu p14 unidade,,"(('__label__verduras,couve', '__label__verduras,alface', '__label__corpo,sabonete', '__label__verduras,verdura', '__label__verduras,agrião'), array([0.03691037, 0.02563941, 0.02277616, 0.01394197, 0.01174751]))"
g mal dexclorfeniramina xpe 120 geolab,,"(('__label__farmácia', '__label__chás,chá', '__label__biscoitos', '__label__verduras,salada', '__label__higiene,fralda'), array([0.0127561 , 0.00442128, 0.00402665, 0.0040186 , 0.00389396]))"
refil mop lustra-mais microfibras,,"(('__label__utensílios', '__label__farmácia', '__label__conveniências,fita', '__label__papelaria,mochila', '__label__papelaria,papel'), array([9.67676640e-01, 9.11311246e-04, 3.06563394e-04, 1.60395124e-04,
       1.42891076e-04]))"
limpa pisos che.bebe 500 ml,,"(('__label__roupas,amaciante', '__label__cervejas,cerveja', '__label__destilados,cachaça', '__label__cabelo,condicionador', '__label__cabelo,shampoo'), array([0.08250468, 0.06685281, 0.05504581, 0.03499371, 0.03024939]))"
fervedor leite antiad.n.14,,"(('__label__chocolates,bombom', '__label__cozinha,porta', '__label__destilados,licor', '__label__chocolates,chocolate', '__label__destilados,cachaça'), array([0.06618002, 0.03261643, 0.02544047, 0.02335036, 0.02032964]))"
colher de servir silicone wellmix preto,,"(('__label__cozinha,colher', '__label__cozinha,espatula', '__label__cozinha,pegador', '__label__cozinha,conjunto', '__label__cozinha,espátula'), array([0.47834164, 0.05966984, 0.05101545, 0.03333468, 0.02710918]))"
concha silicone wellmix preta,,"(('__label__cozinha,colher', '__label__cozinha,espatula', '__label__bebê,chupeta', '__label__cozinha,concha', '__label__cozinha,espátula'), array([0.17357564, 0.11861906, 0.0670518 , 0.06551296, 0.03911077]))"
good codornas do chef a passarinho 1kg,,"(('__label__frutos', '__label__sal,sal', '__label__cafés,café', '__label__arroz,arroz', '__label__peixes,peixe'), array([0.12900247, 0.09305457, 0.06762543, 0.03557774, 0.0261319 ]))"
